metric,baseline_mean,baseline_std,carbon_aware_mean,carbon_aware_std,difference,percent_difference
CO2 emissions (kg),1.1766708493632616e-06,3.2633156426138997e-07,1.4349099752008911e-06,4.2426658624599084e-07,2.5823912583762947e-07,21.946589904676557
Energy consumed (kWh),1.6492896390356898e-06,4.5740511725761473e-07,2.0112524724551727e-06,5.946764851557324e-07,3.6196283341948296e-07,21.946589904676546
Training duration (s),0.7772754600016925,0.17910095945942772,0.7089444800010825,0.1186000184733643,-0.06833098000061,-8.79108932635815
